,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Wifi,Free parking on premises,TV,Washer,Paid crib - available upon request,Children’s books and toys for ages 2-5 years old,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,Kitchen,Dedicated workspace,Free parking garage on premises – 1 space,Pool,HDTV with premium cable,Elevator,Private patio or balcony,City skyline view,Pets allowed,Shared outdoor pool - open specific hours,rooftop,Mountain view,Free dryer – In unit,Shared outdoor pool - available all year,open specific hours,infinity,rooftop,Shared hot tub - open specific hours,Free street parking,41 inch HDTV with HBO Max,Chromecast,Netflix,premium cable,standard cable,Fast wifi – 183 Mbps,Air conditioning,Superhost,Paid washer – In building,Shared pool,Private hot tub,Fast wifi – 185 Mbps,Shared sauna,HDTV with Netflix,Free residential garage on premises,55 inch HDTV with Amazon Prime Video,Netflix,HBO Max,Fire TV,Apple TV,Disney+,Indoor pool - available all year,open specific hours,rooftop,55 inch HDTV with HBO Max,Free washer – In unit,Shared outdoor pool - available all year,open specific hours,rooftop,Shared hot tub,55 inch HDTV with Netflix,premium cable,Shared pool -,HDTV with premium cable,standard cable,AC - split type ductless system,Patio or balcony,Backyard,Central air conditioning,Garden view,TV with premium cable,Fast wifi – 158 Mbps,60 inch HDTV with Netflix,Portable air conditioning,Shared outdoor pool - available all year,open specific hours,55 inch HDTV with Disney+,Netflix,Fast wifi – 101 Mbps,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,premium cable,Shared outdoor pool - available all year,open specific hours,infinity,Fast wifi – 260 Mbps,32 inch HDTV with Roku,Hair dryer,42 inch HDTV with standard cable,Luggage dropoff allowed,50 inch HDTV with premium cable,Dryer,TV with standard cable,HDTV with standard cable,premium cable,Amazon Prime Video,Electrolux refrigerator,Microwave,Shared pool - available all year,open specific hours,50 inch HDTV with Amazon Prime Video,Disney+,Netflix,standard cable,Park view,Private outdoor pool - available all year,open specific hours,infinity,Private sauna,Free dryer
,21,255,65,0,190,0,0,0,0,0,1270516944319690753,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,185,26,22,5,5.0 (5),1,https://www.airbnb.com/rooms/1270516944319690753?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,59,3,196,1.059459459,9,0,9,0.04864864865,2 beds,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,255,140,0,115,0,0,0,0,0,686969237640624557,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,104,11,9,4.74,4.74 (96),16,https://www.airbnb.com/rooms/686969237640624557?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.8269230769,5,13,18,0.1730769231,1 double bed,,TRUE,,,,,,,,FALSE,FALSE,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,250,115,0,135,0,0,0,0,0,715417278609627990,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,116,16,10,4.82,4.82 (101),12,https://www.airbnb.com/rooms/715417278609627990?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,105,0.9051724138,11,16,27,0.2327586207,3 beds,,,,,,,,,,FALSE,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,245,85,0,160,0,0,0,0,0,48941808,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,171,22,16,4.9,4.9 (157),7,https://www.airbnb.com/rooms/48941808?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,43,3,129,0.7543859649,21,21,42,0.2456140351,,TRUE,,TRUE,,,,,,TRUE,FALSE,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,245,110,0,135,0,0,0,0,0,13527873,,,,Apartment in Floridablanca,01/18/25 - 01/21/25,118,17,9,4.82,4.82 (71),12,https://www.airbnb.com/rooms/13527873?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7288135593,15,17,32,0.2711864407,2 beds,TRUE,TRUE,TRUE,,,,,,,,,TRUE,,TRUE,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,245,140,0,105,0,0,0,0,0,707756958689793274,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,104,11,13,4.71,4.71 (73),18,https://www.airbnb.com/rooms/707756958689793274?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,166,1.596153846,0,0,0,0,2 double beds,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,240,70,0,170,0,0,0,0,0,675887603105093956,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,180,25,18,4.93,4.93 (162),5,https://www.airbnb.com/rooms/675887603105093956?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,145,0.8055555556,10,25,35,0.1944444444,,TRUE,TRUE,TRUE,,,,,,TRUE,,FALSE,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,225,60,0,165,0,0,0,0,0,667677702965621944,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,187,27,18,4.92,4.92 (36),6,https://www.airbnb.com/rooms/667677702965621944?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,0.7700534759,20,23,43,0.2299465241,,,,TRUE,,TRUE,,,,,FALSE,,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,29,220,55,0,165,0,0,0,0,0,1177682406862661069,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,194,28,23,4.92,4.92 (12),6,https://www.airbnb.com/rooms/1177682406862661069?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,62,3,208,1.072164948,7,0,7,0.03608247423,2 beds,TRUE,TRUE,,TRUE,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,205,35,0,170,0,0,0,0,0,732051270064253273,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,205,32,21,4.93,4.93 (54),5,https://www.airbnb.com/rooms/732051270064253273?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,54,3,162,0.7902439024,14,29,43,0.2097560976,,TRUE,TRUE,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,200,100,0,100,0,0,0,0,0,26735385,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,138,19,11,4.7,4.7 (157),19,https://www.airbnb.com/rooms/26735385?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,99,0.7173913043,22,17,39,0.2826086957,3 beds,,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,200,105,0,95,0,0,0,0,0,876596912047259737,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,136,18,12,4.69,4.69 (54),20,https://www.airbnb.com/rooms/876596912047259737?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,103,0.7573529412,14,19,33,0.2426470588,,,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,195,30,0,165,0,0,0,0,0,15208336,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,225,33,22,4.92,4.92 (83),6,https://www.airbnb.com/rooms/15208336?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,59,3,177,0.7866666667,16,32,48,0.2133333333,1 king bed,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
