rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Wifi,Free parking on premises,TV,Washer,Paid crib - available upon request,Children’s books and toys for ages 2-5 years old,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,Courtyard view,Kitchen,Dedicated workspace,Pets allowed,32 inch HDTV with Netflix,Free washer – In unit,Private patio or balcony,HDTV,Hair dryer,Garden view,Patio or balcony,Backyard,Air conditioning,Smoking allowed,Elevator,Central air conditioning,Pool,Shared outdoor pool - open specific hours,infinity,Hot tub,50 inch HDTV,Paid washer – In unit,City skyline view,Mountain view,Shared outdoor pool - available all year,open specific hours,rooftop,HDTV with premium cable,Free parking garage on premises – 1 space,Refrigerator,Microwave,Shared sauna,Luggage dropoff allowed,Shared hot tub - available all year,43 inch HDTV with standard cable,Netflix,Disney+,Amazon Prime Video,Fast wifi – 66 Mbps,Shared pool,Pack ’n play/Travel crib,Fire pit,Free dryer – In unit,Superhost,Lake access,Shared pool - available all year,Washer – In unit,Private hot tub,Private outdoor pool - available all year,open 24 hours,Fast wifi – 244 Mbps,Shared pool - open specific hours,Shared hot tub,43 inch HDTV with Fire TV,Fast wifi – 179 Mbps,Free washer,Free street parking,Fast wifi – 325 Mbps,43 inch HDTV with Amazon Prime Video,Apple TV,standard cable,Park view,Wifi – 34 Mbps,Free carport on premises,40 inch HDTV with premium cable,HDTV with Netflix,Free residential garage on premises – 1 space,Haceb refrigerator,Fast wifi – 129 Mbps,32 inch HDTV with Amazon Prime Video,Sauna,Shared hot tub - open specific hours,41 inch HDTV with HBO Max,Chromecast,premium cable,Free driveway parking on premises – 4 spaces,lap pool,TV with Netflix,Roku,Paid washer,Fast wifi – 183 Mbps,Paid washer – In building,Fast wifi – 294 Mbps,Free carport on premises – 1 space,43 inch HDTV with premium cable,HBO Max,Dryer – In unit,Fast wifi – 185 Mbps,Free residential garage on premises,55 inch HDTV with Amazon Prime Video,Fire TV,Private hot tub - available all year,49 inch HDTV with Netflix,Private indoor pool - available all year,50 inch HDTV with standard cable,Shared patio or balcony,TV with standard cable,Shared backyard – Fully fenced,Long term stays allowed,Indoor pool - available all year,55 inch HDTV with HBO Max,43 inch HDTV,Dryer,Free driveway parking on premises – 2 spaces,55 inch HDTV with Netflix,Shared pool -,AC - split type ductless system,Fast wifi – 517 Mbps,Free driveway parking on premises – 1 space,Wifi – 36 Mbps,Free parking garage on premises – 2 spaces,TV with premium cable,Fast wifi – 158 Mbps,60 inch HDTV with Netflix,Portable air conditioning,Fast wifi – 125 Mbps,Shared indoor pool - open specific hours,48 inch HDTV,Fast wifi – 193 Mbps,102 inch HDTV with Netflix,Centrales refrigerator,Whirlpool refrigerator,HDTV with HBO Max,55 inch HDTV with Disney+,32 inch HDTV with standard cable,Crib,High chair,Fast wifi – 101 Mbps,42 inch HDTV with Netflix,Fast wifi – 260 Mbps,32 inch HDTV with Roku,42 inch HDTV with standard cable,40 inch HDTV,Bathtub,HDTV with Amazon Prime Video,Shared indoor pool - available all year,49 inch HDTV,Fast wifi – 535 Mbps,Free parking garage on premises,47 inch HDTV with Netflix,Fast wifi – 485 Mbps,49 inch HDTV with Amazon Prime Video,Shared backyard – Not fully fenced,Samsung refrigerator,37 inch HDTV with standard cable,Fast wifi – 429 Mbps,101 inch HDTV with standard cable,DVD player,Window AC unit,heated,Free residential garage on premises – 14 spaces,olympic-sized,pool toys,32 inch HDTV with Disney+,40 inch HDTV with standard cable,Mabe refrigerator,Fast wifi – 61 Mbps,HDTV with standard cable,50 inch HDTV with premium cable,Electrolux refrigerator,Pool view,46 inch HDTV with Netflix,Private sauna,Free residential garage on premises – 2 spaces,HDTV with Chromecast,EV charger - level 1,Private pool,140 inch TV,50 inch HDTV with Amazon Prime Video,43 inch TV,Private gym in building,Fast wifi – 488 Mbps,Shared backyard,Free driveway parking on premises – 5 spaces,Paid parking off premises,Private indoor pool,49 inch HDTV with premium cable,Free dryer – In building,Paid parking lot off premises,Shared outdoor pool - available seasonally,Free dryer,,Shared indoor pool - available seasonally,65 inch HDTV with Chromecast,60 inch HDTV with HBO Max,65 inch HDTV with Disney+,Fast wifi – 440 Mbps,70 inch HDTV with HBO Max,Free parking garage on premises – 83 spaces,50 inch TV with premium cable,Fast wifi – 137 Mbps,Fast wifi – 292 Mbps,Free residential garage on premises – 6 spaces,Private pool - available all year,55 inch HDTV,Pool - available seasonally,Private outdoor pool - open specific hours,Fast wifi – 82 Mbps,Free carport on premises – 2 spaces,55 inch HDTV with premium cable,Free parking on premises – 3 spaces,Challenger refrigerator,Shared indoor pool - open 24 hours,Fast wifi – 71 Mbps,Free parking on premises – 1 space,Fast wifi – 155 Mbps,127 inch HDTV with Netflix,Free parking on premises – 10 spaces,Fast wifi – 67 Mbps,42 inch HDTV with premium cable,43 inch HDTV with Netflix,Kaley refrigerator,Fast wifi – 347 Mbps,50 inch HDTV with Netflix,LikeIt,MessageSent,Responded,priceRankScore,Tab Order,priceRank,65 inch HDTV with Amazon Prime Video,TabOrder,Fast wifi – 314 Mbps,Bay view,Shared beach access,Fast wifi – 111 Mbps,Beach access – Beachfront,Ocean view,58 inch HDTV with Netflix,Fast wifi – 59 Mbps,Lake view,Wifi – 10 Mbps,37 inch HDTV with Chromecast,Private backyard – Not fully fenced,Children’s books and toys,Indoor fireplace
248,3448,0,1110,1250,0,4,1084,,,23319636,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,49,4.79,4.79 (39),21,https://www.airbnb.com/rooms/23319636?room_types%5B%5D=Entire%20home%2Fapt,69,0,0,NaN,0,0,0,NaN,4 beds,,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3688,0,1345,1255,0,4,1084,,,1065929901660209032,Loft in Bucaramanga,01/18/25 - 01/21/25,0,271,2,4.8,4.8 (30),20,https://www.airbnb.com/rooms/1065929901660209032?room_types%5B%5D=Entire%20home%2Fapt,15,0,0,NaN,0,0,0,NaN,,FALSE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3653,0,1305,1255,0,4,1084,,,1141994958508687703,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,10,4.8,4.8 (10),20,https://www.airbnb.com/rooms/1141994958508687703?room_types%5B%5D=Entire%20home%2Fapt,23,0,0,NaN,0,0,0,NaN,1 queen bed,,TRUE,,TRUE,,,,TRUE,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,3623,0,1275,1255,0,4,1084,,,1075676801771176281,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,16,4.8,4.8 (55),20,https://www.airbnb.com/rooms/1075676801771176281?room_types%5B%5D=Entire%20home%2Fapt,29,0,0,NaN,0,0,0,NaN,,,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,3423,0,1080,1255,0,4,1084,,,677648198949584831,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,55,4.8,4.8 (50),20,https://www.airbnb.com/rooms/677648198949584831?room_types%5B%5D=Entire%20home%2Fapt,81,0,0,NaN,0,0,0,NaN,,FALSE,TRUE,,,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3678,0,1330,1260,0,4,1084,,,29874375,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,5,4.81,4.81 (282),19,https://www.airbnb.com/rooms/29874375?room_types%5B%5D=Entire%20home%2Fapt,18,0,0,NaN,0,0,0,NaN,1 double bed,,TRUE,,,,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3673,0,1320,1260,0,4,1084,,,761006155302996623,Condo in Bucaramanga,01/18/25 - 01/21/25,0,271,7,4.81,4.81 (48),19,https://www.airbnb.com/rooms/761006155302996623?room_types%5B%5D=Entire%20home%2Fapt,20,0,0,NaN,0,0,0,NaN,4 beds,,TRUE,,,,,,TRUE,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3673,0,1325,1260,0,4,1084,,,658021841739109668,Condo in Bucaramanga,01/18/25 - 01/21/25,0,271,6,4.81,4.81 (137),19,https://www.airbnb.com/rooms/658021841739109668?room_types%5B%5D=Entire%20home%2Fapt,19,0,0,NaN,0,0,0,NaN,2 beds,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3668,0,1315,1260,0,4,1084,,,990200763152531679,Apartment in Floridablanca,01/18/25 - 01/21/25,0,271,8,4.81,4.81 (53),19,https://www.airbnb.com/rooms/990200763152531679?room_types%5B%5D=Entire%20home%2Fapt,21,0,0,NaN,0,0,0,NaN,1 bed,,TRUE,,,,,,TRUE,,FALSE,,,,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3643,0,1295,1260,0,4,1084,,,674637750203870525,Condo in Bucaramanga,01/18/25 - 01/21/25,0,271,12,4.81,4.81 (122),19,https://www.airbnb.com/rooms/674637750203870525?room_types%5B%5D=Entire%20home%2Fapt,25,0,0,NaN,0,0,0,NaN,2 beds,FALSE,TRUE,,,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,3588,0,1235,1260,0,4,1084,,,944246605904336673,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,24,4.81,4.81 (47),19,https://www.airbnb.com/rooms/944246605904336673?room_types%5B%5D=Entire%20home%2Fapt,37,0,0,NaN,0,0,0,NaN,3 beds,,,,,,,,TRUE,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,3583,0,1235,1260,0,4,1084,,,1140623205825048796,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,24,4.81,4.81 (32),19,https://www.airbnb.com/rooms/1140623205825048796?room_types%5B%5D=Entire%20home%2Fapt,37,0,0,NaN,0,0,0,NaN,,FALSE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3683,0,1330,1265,0,4,1084,,,1259773573068718637,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,5,4.82,4.82 (11),18,https://www.airbnb.com/rooms/1259773573068718637?room_types%5B%5D=Entire%20home%2Fapt,18,0,0,NaN,0,0,0,NaN,2 beds,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,3648,0,1290,1265,0,4,1084,,,1097919228487832889,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,13,4.82,4.82 (22),18,https://www.airbnb.com/rooms/1097919228487832889?room_types%5B%5D=Entire%20home%2Fapt,26,0,0,NaN,0,0,0,NaN,4 beds,,TRUE,,,,,,TRUE,,FALSE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,3633,0,1280,1265,0,4,1084,,,929255741090134438,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,15,4.82,4.82 (34),18,https://www.airbnb.com/rooms/929255741090134438?room_types%5B%5D=Entire%20home%2Fapt,28,0,0,NaN,0,0,0,NaN,4 beds,FALSE,TRUE,TRUE,TRUE,,,,,,FALSE,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3628,0,1275,1265,0,4,1084,,,13527873,Apartment in Floridablanca,01/18/25 - 01/21/25,0,271,16,4.82,4.82 (71),18,https://www.airbnb.com/rooms/13527873?room_types%5B%5D=Entire%20home%2Fapt,29,0,0,NaN,0,0,0,NaN,2 beds,FALSE,TRUE,TRUE,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3628,0,1270,1265,0,4,1084,,,715417278609627990,Condo in Bucaramanga,01/18/25 - 01/21/25,0,271,17,4.82,4.82 (101),18,https://www.airbnb.com/rooms/715417278609627990?room_types%5B%5D=Entire%20home%2Fapt,30,0,0,NaN,0,0,0,NaN,3 beds,,,,,,,,TRUE,,FALSE,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,3623,0,1270,1265,0,4,1084,,,769434007966777589,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,17,4.82,4.82 (68),18,https://www.airbnb.com/rooms/769434007966777589?room_types%5B%5D=Entire%20home%2Fapt,30,0,0,NaN,0,0,0,NaN,,FALSE,,,,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,3588,0,1235,1265,0,4,1084,,,50466844,Apartment in Floridablanca,01/18/25 - 01/21/25,0,271,24,4.82,4.82 (76),18,https://www.airbnb.com/rooms/50466844?room_types%5B%5D=Entire%20home%2Fapt,37,0,0,NaN,0,0,0,NaN,3 beds,,TRUE,TRUE,,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,3588,0,1235,1265,0,4,1084,,,51061129,Apartment in Floridablanca,01/18/25 - 01/21/25,0,271,24,4.82,4.82 (39),18,https://www.airbnb.com/rooms/51061129?room_types%5B%5D=Entire%20home%2Fapt,37,0,0,NaN,0,0,0,NaN,3 beds,FALSE,TRUE,TRUE,TRUE,,,,,,FALSE,,TRUE,,TRUE,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,3568,0,1215,1265,0,4,1084,,,1064035309469141717,Loft in Floridablanca,01/18/25 - 01/21/25,0,271,28,4.82,4.82 (22),18,https://www.airbnb.com/rooms/1064035309469141717?room_types%5B%5D=Entire%20home%2Fapt,41,0,0,NaN,0,0,0,NaN,4 beds,,TRUE,TRUE,,,,,,TRUE,FALSE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,3538,0,1185,1265,0,4,1084,,,1038539571323632003,Apartment in Floridablanca,01/18/25 - 01/21/25,0,271,34,4.82,4.82 (49),18,https://www.airbnb.com/rooms/1038539571323632003?room_types%5B%5D=Entire%20home%2Fapt,47,0,0,NaN,0,0,0,NaN,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3693,0,1335,1270,0,4,1084,,,47887855,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,4,4.83,4.83 (163),17,https://www.airbnb.com/rooms/47887855?room_types%5B%5D=Entire%20home%2Fapt,17,0,0,NaN,0,0,0,NaN,,,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3668,0,1310,1270,0,4,1084,,,1257561841183447057,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,9,4.83,4.83 (12),17,https://www.airbnb.com/rooms/1257561841183447057?room_types%5B%5D=Entire%20home%2Fapt,22,0,0,NaN,0,0,0,NaN,,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3663,0,1305,1270,0,4,1084,,,1100098363512804381,Apartment in Bucaramanga,01/18/25 - 01/21/25,0,271,10,4.83,4.83 (12),17,https://www.airbnb.com/rooms/1100098363512804381?room_types%5B%5D=Entire%20home%2Fapt,23,0,0,NaN,0,0,0,NaN,1 queen bed,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
