Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
,,Apartment in Bucaramanga,116,5,32,0.8362068966,3,16,19,0.1637931034,,1,1,,,,,
,,Apartment in Bucaramanga,123,4.91,32,0.7886178862,9,17,26,0.2113821138,,1,1,,,,,
,,Apartment in Bucaramanga,123,4.87,32,0.7886178862,9,17,26,0.2113821138,,1,1,,,,,
,,Home in Floridablanca,133,4.8,32,0.7293233083,17,19,36,0.2706766917,,1,1,,,,,
,,Loft in Bucaramanga,113,4.79,32,0.8584070796,0,16,16,0.1415929204,1,1,1,,,,,
,,Apartment in Bucaramanga,113,4.67,32,0.8584070796,0,16,16,0.1415929204,1,1,1,,,,,
,,Apartment in Floridablanca,134,4.67,32,0.723880597,18,19,37,0.276119403,,1,1,,,,,
,,Condo in Bucaramanga,119,4.56,32,0.8151260504,5,17,22,0.1848739496,,1,1,,,,,
,,Apartment in Floridablanca,116,5,31,0.8017241379,7,16,23,0.1982758621,,1,1,,,,,
,,Apartment in Bucaramanga,107,4.82,31,0.8691588785,0,14,14,0.1308411215,,1,1,,,,,
,,Apartment in Bucaramanga,116,4.78,31,0.8017241379,7,16,23,0.1982758621,,1,1,,,,,
,,Apartment in Floridablanca,129,4.78,31,0.7209302326,18,18,36,0.2790697674,1,1,1,,,,,
,,Apartment in Bucaramanga,108,4.75,31,0.8611111111,0,15,15,0.1388888889,,1,1,,,,,
,,Condo in Bucaramanga,116,4.64,31,0.8017241379,7,16,23,0.1982758621,1,1,1,,,,,
,,Loft in Bucaramanga,120,5,32,0.7916666667,10,15,25,0.2083333333,1,1,1,,,,,
,,Condo in Bucaramanga,121,5,30,0.7438016529,14,17,31,0.2561983471,,1,1,,,,,
,,Apartment in Bucaramanga,123,5,30,0.7317073171,16,17,33,0.2682926829,,1,1,,,,,
,,Apartment in Bucaramanga,113,4.92,30,0.796460177,7,16,23,0.203539823,,1,1,,,,,
,,Home in Bucaramanga,105,4.9,30,0.8571428571,0,15,15,0.1428571429,,1,1,,,,,
,,Loft in Bucaramanga,113,4.86,30,0.796460177,7,16,23,0.203539823,,1,1,,,,,
,,Condo in Bucaramanga,113,4.72,30,0.796460177,7,16,23,0.203539823,,1,1,,,,,
,,Home in Bucaramanga,113,4.59,30,0.796460177,7,16,23,0.203539823,,1,1,,,,,
,,Home in Bucaramanga,113,4.58,30,0.796460177,7,16,23,0.203539823,,1,1,,,,,
,,Apartment in Bucaramanga,112,4.51,30,0.8035714286,6,16,22,0.1964285714,,1,1,,,,,
,,Apartment in Floridablanca,105,4.42,30,0.8571428571,0,15,15,0.1428571429,,1,1,,,,,
,,Apartment in Bucaramanga,130,5,37,0.8615384615,0,18,18,0.1384615385,1.5,1,1,,,,,
,,Condo in Floridablanca,141,4.96,37,0.7943262411,9,20,29,0.2056737589,1,1,1,,,,,
,,Apartment in Bucaramanga,141,4.95,37,0.7943262411,9,20,29,0.2056737589,,1,1,,,,,
,,Apartment in Bucaramanga,144,4.93,37,0.7777777778,12,20,32,0.2222222222,1,1,1,,,,,
,,Apartment in Floridablanca,127,4.77,37,0.8818897638,15,0,15,0.1181102362,1,1,1,,,,,
